id,dimension,type,weight,question,option_a,option_b,source
1,S/U,标准,1.0,某个新出的 AI 效率工具非常强大，但要求同步你近一年的所有聊天记录以建立“个人知识库”，你会：,主权优先：因为无法确定数据去向，坚决不上传核心数据。,效用优先：为了极致的搜索效率和 AI 辅助，选择一键同步。,隐私微积分 [4] & 感知收益博弈 [8]
2,S/U,关键,1.5,某项政务 AI 服务可以让你“免填表、秒审批”，前提是授权它调取你跨省市的所有个人敏感信息，你会：,主权优先：宁愿去柜台手动填写，也要保留对各数据源的手动授权权。,效用优先：信任政府系统的安全性，拥抱“无感办事”的便利。,中国电子政务平台系统性信任实证 [10]
3,S/U,标准,1.0,当你发现某个 App 的隐私协议更新了，且不同意就无法登录时，你通常：,主权优先：去寻找替代工具，或在社交媒体吐槽其强制授权。,效用优先：虽然无奈，但为了不影响使用，快速点击同意。,PIPL 第十四条合规张力 [3]
4,S/U,标准,1.0,你更倾向于哪种数据存储方式？,主权优先：宁愿多花钱自己搭建 NAS 存储，数据不出家门。,效用优先：使用成熟的大厂云端，享受随时随地的全平台同步。,主权云 vs 专有控制霸权 [22]
5,S/U,标准,1.0,如果 AI 医疗助手要求你共享近十年的完整体检报告以提高诊断准确度，你的心态是：,主权优先：担心数据泄露导致保险费率上涨或职场歧视。,效用优先：为了更长久的健康和更精准的预警，愿意共享。,中国患者共享医疗数据的道德动机 [11]
6,S/U,标准,1.0,在面对“精准推荐”带来的购物便利时，你觉得：,主权优先：这是一种“算法监视”，让我感到被冒犯。,效用优先：这减少了我的搜索成本，是算法进化的红利。,算法推荐管理规定下的用户感知 [2]
7,C/O,标准,1.0,面对 Deepfake（深度伪造）视频，你的第一反应通常是：,审慎防御：默认所有视频都可能是伪造的，产生强烈的现实扭曲感。,技术乐观：相信“魔高一尺道高一丈”，反诈技术总能解决问题。,Deepfake 带来的虚假信息焦虑 [31]
8,C/O,关键,1.5,AI 辅助招聘系统建议公司不录用你，因为它通过算法认为你“缺乏忠诚度”，你会：,审慎防御：坚决质疑算法黑盒，要求公司提供具体的人工解释权。,技术乐观：相信算法在客观性上通常优于HR的主观偏见。,算法可解释权诉求 [5][27]
9,C/O,标准,1.0,当 AI 给出的搜索答案与你的常识冲突时，你更倾向于：,审慎防御：首选验证其数据源，怀疑 AI 是否产生了幻觉。,技术乐观：反思是否是由于自己知识更新滞后，倾向于相信 AI。,RLVR（可验证奖励）下的信任重构 [2]
10,C/O,标准,1.0,你如何看待 AI 创作的作品（如绘画、文章）？,审慎防御：这本质上是“洗稿”，对原创者的知识产权构成了侵蚀。,技术乐观：这是人类创意的认知延展，是生产力的巨大跃迁。,知识产权侵蚀焦虑 [31]
11,C/O,标准,1.0,假如你身处自动驾驶汽车中，遇到复杂的施工路段，你会：,审慎防御：手心出汗，随时准备手动接管。,技术乐观：完全放松，相信汽车的传感器阵列比人类更精准。,自动驾驶信任赤字调研 [31]
12,C/O,标准,1.0,面对 AGI（通用人工智能）的到来，你更多的情绪是：,审慎防御：担忧技术失控和人类主体地位的丧失。,技术乐观：期待技术奇点能解决目前人类无法解决的顽疾。,斯坦福 2025 AI 指数跨文化情绪对比 [30]
13,M/D,关键,1.5,你的 AI 代理监测到你的信用卡有被盗刷风险，并向你发送确认信息。在无你回复时，你希望它：,自主掌控：不许动。哪怕造成损失，也必须由我确认后执行。,代理让渡：自动冻结。哪怕误判影响消费，也应由其优先执行。,资产处置“钱包红线” [38]
14,M/D,标准,1.0,你的 AI 代理可以帮你写周报、回琐事，你会授权它：,自主掌控：仅作为草稿生成器，我必须逐字审阅。,代理让渡：全自动发送，只要它理解了我的意图大纲。,职场全景监狱与创造性效率博弈 [13]
15,M/D,关键,1.5,如果你的 AI 代理可以模拟你的语气回复微信，你愿意让它代回谁的信息？,自主掌控：绝不代聊。这侵犯了我的“社交真实性”，怕发生“社死”。,代理让渡：可以授权。特别是琐碎的工作群或客套的应酬。,中国高语境社交下的“社交红线” [38]
16,M/D,标准,1.0,在使用智能家居时，你更希望：,自主掌控：通过语音命令一个个开启设备。,代理让渡：由 AI 代理感知环境变化，自动调节温湿度而无需我过问。,Agentic AI 落地中的无感化偏好 [1]
17,M/D,关键,1.5,对于具有“执行能力”的 AI Agent 授予权限时，你的原则是：,自主掌控：坚持“白名单”制，默认禁止，逐项赋予最低限度权限。,代理让渡：坚持“一键授权”制，为了极致的流畅体验而给予信任。,Cybench 安全基准测试与权限滥用风险 [35]
18,M/D,标准,1.0,假如你正在进行一项跨国旅行，AI 代理可以帮你全权安排行程：,自主掌控：我需要看它每个备选方案的逻辑，并由我做决策。,代理让渡：我只要给出一个目的地，剩下的全部由它闭环搞定。,人类主体性丧失与“超级愚蠢”陷阱 [46]
19,P/R,标准,1.0,当你下载一个新 App 时，你检查其“权限列表（麦克风、联系人等）”的频率是：,积极维护：次次不落。不必要的权限坚决不给。,响应型：基本不看。太费劲了，反正大家都给。,隐私疲劳理论 [6]
20,P/R,关键,1.5,如果发现某 App 存在“大数据杀熟”或过度收集信息的行为，你会：,积极维护：主动投诉、反馈或向监管平台举报，哪怕过程繁琐。,响应型：感到生气，但也就骂两句，继续忍着使用。,2025 年维权投诉率增长实证 [1]
21,P/R,标准,1.0,你是否知道 PIPL（个人信息保护法）中关于“撤回同意”和“要求解释算法”的具体权利？,积极维护：比较了解。且在必要时会尝试行使这些权利。,响应型：听说过。但不清楚具体怎么操作，感觉离自己很远。,PIPL 实施现状与公众认知鸿沟 [1]
22,P/R,标准,1.0,你是否会定期清理自己的数字足迹（如管理 Cookie、注销长期不用的账号）？,积极维护：定期进行。像整理家务一样整理数字遗产。,响应型：从不清理。除非账号被盗或系统提醒，否则不折腾。,保护动机理论 (PMT) 的应用 [6]
23,P/R,标准,1.0,面对“扫码点餐强制关注公众号”这种行为，你的典型反应是：,积极维护：寻找不关注的方式，或者投诉商家违规。,响应型：习惯了，扫就扫吧，吃完饭再取关（或者干脆忘了取关）。,2025 年“微侵权”专项整治背景 [2]
24,P/R,关键,1.5,当 AI 助手询问是否可以上传你的后台日志以“优化服务”时，你会：,积极维护：查看日志内容，通常选择拒绝。,响应型：看到“优化服务”字眼就默认点同意了。,隐私微积分中的启发式偏见 [4]
